85.0,0.8,75.0
86.0,0.7,76.0
87.0,0.9,78.0
85.0,0.8,75.0
86.0,0.7,76.0
87.0,0.9,78.0
85.0,0.8,75.0
86.0,0.7,76.0
87.0,0.9,78.0
85.0,0.8,75.0
86.0,0.7,76.0
87.0,0.9,78.0
85.0,0.8,75.0
86.0,0.7,76.0
87.0,0.9,78.0
85.0,0.8,75.0
86.0,0.7,76.0
87.0,0.9,78.0
85.0,0.8,75.0
86.0,0.7,76.0
87.0,0.9,78.0
85.0,0.8,75.0
86.0,0.7,76.0
87.0,0.9,78.0
85.0,0.8,75.0
86.0,0.7,76.0
87.0,0.9,78.0
85.0,0.8,75.0
86.0,0.7,76.0
87.0,0.9,78.0
85.0,0.8,75.0
86.0,0.7,76.0
87.0,0.9,78.0
85.0,0.8,75.0
86.0,0.7,76.0
87.0,0.9,78.0
85.0,0.8,75.0
86.0,0.7,76.0
87.0,0.9,78.0
